"Date","Time","Pt.Conc","Lat","Long","Route","sheetname","Day","period","minute"
2025-08-26,07:54:45,94900,-36.8540014,174.7681974,"1","Tue.AM","Tue","AM","(53.1,56.1]"
2025-08-26,09:01:45,113000,-36.847151,174.7620905,"1","Tue.AM","Tue","AM","(-0.059,2.95]"
2025-08-26,09:07:11,144000,-36.8445033,174.7633821,"1","Tue.AM","Tue","AM","(5.9,8.85]"
2025-08-26,09:47:45,71700,-36.850645,174.7716676,"1","Tue.AM","Tue","AM","(44.2,47.2]"
2025-08-26,09:49:04,94700,-36.8513184,174.7708386,"1","Tue.AM","Tue","AM","(47.2,50.2]"
2025-08-26,08:23:18,53400,-36.8495677,174.7647375,"2.p3","Tue.AM","Tue","AM","(20.7,23.6]"
2025-08-26,08:25:51,52200,-36.8507442,174.7645716,"2.p3","Tue.AM","Tue","AM","(23.6,26.6]"
2025-08-26,08:27:28,50600,-36.851743,174.7641988,"2.p3","Tue.AM","Tue","AM","(26.6,29.5]"
2025-08-26,08:12:35,63700,-36.8455916,174.7659211,"2.p5","Tue.AM","Tue","AM","(11.8,14.8]"
2025-08-26,08:22:40,99100,-36.849183,174.7651797,"2.p5","Tue.AM","Tue","AM","(20.7,23.6]"
2025-08-26,08:29:14,65800,-36.8510766,174.7655917,"3","Tue.AM","Tue","AM","(26.6,29.5]"
2025-08-26,08:32:24,56700,-36.8508458,174.7645451,"3","Tue.AM","Tue","AM","(29.5,32.5]"
2025-08-26,08:37:33,77500,-36.8501838,174.7622082,"3","Tue.AM","Tue","AM","(35.4,38.4]"
2025-08-26,08:39:24,56300,-36.8502317,174.7614326,"3","Tue.AM","Tue","AM","(38.4,41.3]"
2025-08-26,08:42:08,61100,-36.849726,174.7606945,"3","Tue.AM","Tue","AM","(41.3,44.2]"
2025-08-26,08:53:28,61300,-36.8481733,174.7549504,"3","Tue.AM","Tue","AM","(50.2,53.1]"
2025-08-26,09:03:25,64600,-36.8460482,174.7564675,"3","Tue.AM","Tue","AM","(2.95,5.9]"
2025-08-26,16:10:26,159000,-36.8449081,174.7663294,"2","Tue.PM","Tue","PM","(8.85,11.8]"
2025-08-26,16:10:27,159000,-36.8449244,174.7663217,"2","Tue.PM","Tue","PM","(8.85,11.8]"
2025-08-26,16:23:24,72700,-36.8534911,174.7634598,"2","Tue.PM","Tue","PM","(20.7,23.6]"
2025-08-26,15:49:02,66000,-36.8517538,174.766138,"3","Tue.PM","Tue","PM","(47.2,50.2]"
2025-08-26,16:09:17,57600,-36.8479946,174.7548924,"3","Tue.PM","Tue","PM","(8.85,11.8]"
